popularity,title,url,year
width:6%;,Sponge Lyrics,http://www.metrolyrics.com/sponge-lyrics-rem.html,2006
width:31.870966422084%;,Stand Lyrics,http://www.metrolyrics.com/stand-lyrics-rem.html,2003
width:6%;,Star 69 Lyrics,http://www.metrolyrics.com/star-69-lyrics-rem.html,2006
width:6%;,Star Me Kitten Lyrics,http://www.metrolyrics.com/star-me-kitten-lyrics-rem.html,2006
width:6%;,Staring Down the Barrel of the Middle Distance Lyrics,http://www.metrolyrics.com/staring-down-the-barrel-of-the-middle-distance-lyrics-rem.html,2016
width:6%;,Strange Lyrics,http://www.metrolyrics.com/strange-lyrics-rem.html,2008
width:21.755319103969%;,Strange (wire) Lyrics,http://www.metrolyrics.com/strange-wire-lyrics-rem.html,2008
width:35.481397225105%;,Strange Currencies Lyrics,http://www.metrolyrics.com/strange-currencies-lyrics-rem.html,2006
width:6%;,Stumble Lyrics,http://www.metrolyrics.com/stumble-lyrics-rem.html,2006
width:6%;,Summer Turns To High Lyrics,http://www.metrolyrics.com/summer-turns-to-high-lyrics-rem.html,2006
width:27.452156242272%;,Superman Lyrics,http://www.metrolyrics.com/superman-lyrics-rem.html,2006
width:6%;,Supernatural Superserious Lyrics,http://www.metrolyrics.com/supernatural-superserious-lyrics-rem.html,2008
width:6%;,Suspicion Lyrics,http://www.metrolyrics.com/suspicion-lyrics-rem.html,2006
width:6%;,Swan Swan H Lyrics,http://www.metrolyrics.com/swan-swan-h-lyrics-rem.html,2006
width:6%;,Swan Swan Hummingbird Lyrics,http://www.metrolyrics.com/swan-swan-hummingbird-lyrics-rem.html,2014
width:21.755319103969%;,Sweetness Follows Lyrics,http://www.metrolyrics.com/sweetness-follows-lyrics-rem.html,2006
width:6%;,Tainted Obligation Lyrics,http://www.metrolyrics.com/tainted-obligation-lyrics-rem.html,2006
width:21.755319103969%;,Talk About The Passion Lyrics,http://www.metrolyrics.com/talk-about-the-passion-lyrics-rem.html,2011
width:6%;,Texarcana Lyrics,http://www.metrolyrics.com/texarcana-lyrics-rem.html,2016
width:6%;,Texarkana Lyrics,http://www.metrolyrics.com/texarkana-lyrics-rem.html,2006
width:6%;,Texarnaka Lyrics,http://www.metrolyrics.com/texarnaka-lyrics-rem.html,2006
width:6%;,That Beat Lyrics,http://www.metrolyrics.com/that-beat-lyrics-rem.html,2006
width:13.726078121136%;,That Someone Is You Lyrics,http://www.metrolyrics.com/that-someone-is-you-lyrics-rem.html,2011
width:6%;,The After Hours Lyrics,http://www.metrolyrics.com/the-after-hours-lyrics-rem.html,2006
width:6%;,The Apologist Lyrics,http://www.metrolyrics.com/the-apologist-lyrics-rem.html,2006
width:6%;,The Ascent of Man Lyrics,http://www.metrolyrics.com/the-ascent-of-man-lyrics-rem.html,2004
width:6%;,The Boy In The Well Lyrics,http://www.metrolyrics.com/the-boy-in-the-well-lyrics-rem.html,2004
width:6%;,The Final Straw Lyrics,http://www.metrolyrics.com/the-final-straw-lyrics-rem.html,2004
width:6%;,The Flowers of Guatemala Lyrics,http://www.metrolyrics.com/the-flowers-of-guatemala-lyrics-rem.html,2006
width:6%;,The Great Beyond Lyrics,http://www.metrolyrics.com/the-great-beyond-lyrics-rem.html,2003
width:13.726078121136%;,The Lifting Lyrics,http://www.metrolyrics.com/the-lifting-lyrics-rem.html,2006
width:6%;,The Lion Sleeps Tonight Lyrics,http://www.metrolyrics.com/the-lion-sleeps-tonight-lyrics-rem.html,2006
width:91.391130959295%;,The One I Love Lyrics,http://www.metrolyrics.com/the-one-i-love-lyrics-rem.html,2008
width:6%;,The Outsiders Lyrics,http://www.metrolyrics.com/the-outsiders-lyrics-rem.html,2004
width:73.049200785492%;,The Sidewinder Sleeps Tonight Lyrics,http://www.metrolyrics.com/the-sidewinder-sleeps-tonight-lyrics-rem.html,2006
width:35.481397225105%;,The Sidewinder Sleeps Tonite Lyrics,http://www.metrolyrics.com/the-sidewinder-sleeps-tonite-lyrics-rem.html,2003
